Date,MPR,HeadlineInflation,BrentOil,Cocoa,Gold,InterestRate,NetForeignAssets,NIR,Imports,Exports
2006-01-01,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-02,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-03,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-04,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-05,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-06,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-07,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-08,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-09,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-10,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-11,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-12,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-13,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-14,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-15,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-16,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-17,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-18,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-19,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-20,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-21,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-22,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-23,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-24,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-25,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-26,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-27,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-28,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-29,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-30,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-01-31,14.5,12.76,63.9,1518.3,550.8,10.3425,1422.81,1286.4,490.8,330.1
2006-02-01,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-02,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-03,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-04,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-05,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-06,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-07,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-08,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-09,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-10,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-11,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-12,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-13,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-14,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-15,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-16,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-17,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-18,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-19,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-20,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-21,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-22,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-23,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-24,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-25,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-26,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
2006-02-27,14.5,12.27,61.1,1482.2,555.6,8.65,1409.58,1272.3,547.9,287.8
