Date,GhCompositeIndex,FXDeposits,InterbankWeightedAvg,T-bill-182,T-bill-91,PrivateSectorCredit,TradeBalance
2008-01-01,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-02,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-03,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-04,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-05,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-06,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-07,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-08,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-09,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-10,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-11,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-12,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-13,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-14,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-15,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-16,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-17,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-18,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-19,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-20,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-21,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-22,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-23,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-24,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-25,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-26,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-27,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
2008-01-28,25.89,1127.98,12.16,11.03,10.72,3336.9,-417.88
