,Oil_Price,Cocoa_Price,Gold_Price,Date
0,63.86,1518.25,550.77,2006-01-01
1,63.86,1518.25,550.77,2006-01-02
2,63.86,1518.25,550.77,2006-01-03
3,63.86,1518.25,550.77,2006-01-04
4,63.86,1518.25,550.77,2006-01-05
5,63.86,1518.25,550.77,2006-01-06
6,63.86,1518.25,550.77,2006-01-07
7,63.86,1518.25,550.77,2006-01-08
8,63.86,1518.25,550.77,2006-01-09
9,63.86,1518.25,550.77,2006-01-10
10,63.86,1518.25,550.77,2006-01-11
11,63.86,1518.25,550.77,2006-01-12
12,63.86,1518.25,550.77,2006-01-13
13,63.86,1518.25,550.77,2006-01-14
14,63.86,1518.25,550.77,2006-01-15
15,63.86,1518.25,550.77,2006-01-16
16,63.86,1518.25,550.77,2006-01-17
17,63.86,1518.25,550.77,2006-01-18
18,63.86,1518.25,550.77,2006-01-19
19,63.86,1518.25,550.77,2006-01-20
20,63.86,1518.25,550.77,2006-01-21
21,63.86,1518.25,550.77,2006-01-22
22,63.86,1518.25,550.77,2006-01-23
23,63.86,1518.25,550.77,2006-01-24
24,63.86,1518.25,550.77,2006-01-25
25,63.86,1518.25,550.77,2006-01-26
26,63.86,1518.25,550.77,2006-01-27
27,63.86,1518.25,550.77,2006-01-28
28,63.86,1518.25,550.77,2006-01-29
29,63.86,1518.25,550.77,2006-01-30
30,63.86,1518.25,550.77,2006-01-31
31,61.1,1482.2,555.57,2006-02-01
32,61.1,1482.2,555.57,2006-02-02
33,61.1,1482.2,555.57,2006-02-03
34,61.1,1482.2,555.57,2006-02-04
35,61.1,1482.2,555.57,2006-02-05
36,61.1,1482.2,555.57,2006-02-06
37,61.1,1482.2,555.57,2006-02-07
38,61.1,1482.2,555.57,2006-02-08
39,61.1,1482.2,555.57,2006-02-09
40,61.1,1482.2,555.57,2006-02-10
41,61.1,1482.2,555.57,2006-02-11
42,61.1,1482.2,555.57,2006-02-12
43,61.1,1482.2,555.57,2006-02-13
44,61.1,1482.2,555.57,2006-02-14
45,61.1,1482.2,555.57,2006-02-15
46,61.1,1482.2,555.57,2006-02-16
47,61.1,1482.2,555.57,2006-02-17
48,61.1,1482.2,555.57,2006-02-18
49,61.1,1482.2,555.57,2006-02-19
50,61.1,1482.2,555.57,2006-02-20
51,61.1,1482.2,555.57,2006-02-21
52,61.1,1482.2,555.57,2006-02-22
53,61.1,1482.2,555.57,2006-02-23
54,61.1,1482.2,555.57,2006-02-24
55,61.1,1482.2,555.57,2006-02-25
56,61.1,1482.2,555.57,2006-02-26
57,61.1,1482.2,555.57,2006-02-27
58,61.1,1482.2,555.57,2006-02-28
59,63.06,1481.22,557.15,2006-03-01
60,63.06,1481.22,557.15,2006-03-02
61,63.06,1481.22,557.15,2006-03-03
62,63.06,1481.22,557.15,2006-03-04
63,63.06,1481.22,557.15,2006-03-05
64,63.06,1481.22,557.15,2006-03-06
65,63.06,1481.22,557.15,2006-03-07
66,63.06,1481.22,557.15,2006-03-08
67,63.06,1481.22,557.15,2006-03-09
68,63.06,1481.22,557.15,2006-03-10
69,63.06,1481.22,557.15,2006-03-11
70,63.06,1481.22,557.15,2006-03-12
71,63.06,1481.22,557.15,2006-03-13
72,63.06,1481.22,557.15,2006-03-14
73,63.06,1481.22,557.15,2006-03-15
74,63.06,1481.22,557.15,2006-03-16
75,63.06,1481.22,557.15,2006-03-17
76,63.06,1481.22,557.15,2006-03-18
77,63.06,1481.22,557.15,2006-03-19
78,63.06,1481.22,557.15,2006-03-20
79,63.06,1481.22,557.15,2006-03-21
80,63.06,1481.22,557.15,2006-03-22
81,63.06,1481.22,557.15,2006-03-23
82,63.06,1481.22,557.15,2006-03-24
83,63.06,1481.22,557.15,2006-03-25
84,63.06,1481.22,557.15,2006-03-26
85,63.06,1481.22,557.15,2006-03-27
86,63.06,1481.22,557.15,2006-03-28
87,63.06,1481.22,557.15,2006-03-29
88,63.06,1481.22,557.15,2006-03-30
89,63.06,1481.22,557.15,2006-03-31
90,70.56,1471.56,612.29,2006-04-01
91,70.56,1471.56,612.29,2006-04-02
92,70.56,1471.56,612.29,2006-04-03
93,70.56,1471.56,612.29,2006-04-04
94,70.56,1471.56,612.29,2006-04-05
95,70.56,1471.56,612.29,2006-04-06
96,70.56,1471.56,612.29,2006-04-07
97,70.56,1471.56,612.29,2006-04-08
98,70.56,1471.56,612.29,2006-04-09
99,70.56,1471.56,612.29,2006-04-10
100,70.56,1471.56,612.29,2006-04-11
101,70.56,1471.56,612.29,2006-04-12
102,70.56,1471.56,612.29,2006-04-13
103,70.56,1471.56,612.29,2006-04-14
104,70.56,1471.56,612.29,2006-04-15
105,70.56,1471.56,612.29,2006-04-16
106,70.56,1471.56,612.29,2006-04-17
107,70.56,1471.56,612.29,2006-04-18
108,70.56,1471.56,612.29,2006-04-19
109,70.56,1471.56,612.29,2006-04-20
110,70.56,1471.56,612.29,2006-04-21
111,70.56,1471.56,612.29,2006-04-22
112,70.56,1471.56,612.29,2006-04-23
113,70.56,1471.56,612.29,2006-04-24
114,70.56,1471.56,612.29,2006-04-25
115,70.56,1471.56,612.29,2006-04-26
116,70.56,1471.56,612.29,2006-04-27
117,70.56,1471.56,612.29,2006-04-28
118,70.56,1471.56,612.29,2006-04-29
119,70.56,1471.56,612.29,2006-04-30
120,70.97,1518.35,673.55,2006-05-01
121,70.97,1518.35,673.55,2006-05-02
122,70.97,1518.35,673.55,2006-05-03
123,70.97,1518.35,673.55,2006-05-04
124,70.97,1518.35,673.55,2006-05-05
125,70.97,1518.35,673.55,2006-05-06
126,70.97,1518.35,673.55,2006-05-07
127,70.97,1518.35,673.55,2006-05-08
128,70.97,1518.35,673.55,2006-05-09
129,70.97,1518.35,673.55,2006-05-10
130,70.97,1518.35,673.55,2006-05-11
131,70.97,1518.35,673.55,2006-05-12
132,70.97,1518.35,673.55,2006-05-13
133,70.97,1518.35,673.55,2006-05-14
134,70.97,1518.35,673.55,2006-05-15
135,70.97,1518.35,673.55,2006-05-16
136,70.97,1518.35,673.55,2006-05-17
137,70.97,1518.35,673.55,2006-05-18
138,70.97,1518.35,673.55,2006-05-19
139,70.97,1518.35,673.55,2006-05-20
140,70.97,1518.35,673.55,2006-05-21
141,70.97,1518.35,673.55,2006-05-22
142,70.97,1518.35,673.55,2006-05-23
143,70.97,1518.35,673.55,2006-05-24
144,70.97,1518.35,673.55,2006-05-25
145,70.97,1518.35,673.55,2006-05-26
146,70.97,1518.35,673.55,2006-05-27
147,70.97,1518.35,673.55,2006-05-28
148,70.97,1518.35,673.55,2006-05-29
149,70.97,1518.35,673.55,2006-05-30
150,70.97,1518.35,673.55,2006-05-31
151,69.74,1520.86,595.62,2006-06-01
152,69.74,1520.86,595.62,2006-06-02
153,69.74,1520.86,595.62,2006-06-03
154,69.74,1520.86,595.62,2006-06-04
155,69.74,1520.86,595.62,2006-06-05
156,69.74,1520.86,595.62,2006-06-06
157,69.74,1520.86,595.62,2006-06-07
158,69.74,1520.86,595.62,2006-06-08
159,69.74,1520.86,595.62,2006-06-09
160,69.74,1520.86,595.62,2006-06-10
161,69.74,1520.86,595.62,2006-06-11
162,69.74,1520.86,595.62,2006-06-12
163,69.74,1520.86,595.62,2006-06-13
164,69.74,1520.86,595.62,2006-06-14
165,69.74,1520.86,595.62,2006-06-15
166,69.74,1520.86,595.62,2006-06-16
167,69.74,1520.86,595.62,2006-06-17
168,69.74,1520.86,595.62,2006-06-18
169,69.74,1520.86,595.62,2006-06-19
170,69.74,1520.86,595.62,2006-06-20
171,69.74,1520.86,595.62,2006-06-21
172,69.74,1520.86,595.62,2006-06-22
173,69.74,1520.86,595.62,2006-06-23
174,69.74,1520.86,595.62,2006-06-24
175,69.74,1520.86,595.62,2006-06-25
176,69.74,1520.86,595.62,2006-06-26
177,69.74,1520.86,595.62,2006-06-27
178,69.74,1520.86,595.62,2006-06-28
179,69.74,1520.86,595.62,2006-06-29
