Date,MPR,FoodInflation,HeadlineInflation,NonFoodInflation,BrentOil,Cocoa,Gold,InterestRate,NetForeignAssets,NIR,Imports,Exports
01/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
02/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
03/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
04/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
05/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
06/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
07/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
08/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
09/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
10/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
11/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
12/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
13/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
14/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
15/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
16/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
17/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
18/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
19/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
20/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
21/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
22/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
23/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
24/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
25/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
26/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
27/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
28/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
29/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
30/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
31/01/2008,13.5,10.64,12.81,14.4,91.9,2174.5,891,12.175,1979.35,1674.3,781.9,406.1
01/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
02/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
03/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
04/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
05/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
06/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
07/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
08/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
09/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
10/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
11/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
12/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
13/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
14/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
15/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
16/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
17/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
18/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
19/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
20/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
21/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
22/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
23/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
24/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
25/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
26/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
27/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
28/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
29/02/2008,13.5,11.23,13.21,14.68,94.5,2501.8,925,12.016,2204.88,1883.5,868.9,444.1
01/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
02/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
03/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
04/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
05/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
06/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
07/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
08/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
09/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
10/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
11/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
12/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
13/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
14/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
15/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
16/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
17/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
18/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
19/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
20/03/2008,14.3,12.95,13.79,14.41,103,2614.2,965.9,12.1975,2017.77,1712.9,818.5,464.7
