,Oil_Price,Cocoa_Price,Gold_Price,Date
0,54.56,1607.72,630.61,2007-01-01
1,54.56,1607.72,630.61,2007-01-02
2,54.56,1607.72,630.61,2007-01-03
3,54.56,1607.72,630.61,2007-01-04
4,54.56,1607.72,630.61,2007-01-05
5,54.56,1607.72,630.61,2007-01-06
6,54.56,1607.72,630.61,2007-01-07
7,54.56,1607.72,630.61,2007-01-08
8,54.56,1607.72,630.61,2007-01-09
9,54.56,1607.72,630.61,2007-01-10
10,54.56,1607.72,630.61,2007-01-11
11,54.56,1607.72,630.61,2007-01-12
12,54.56,1607.72,630.61,2007-01-13
13,54.56,1607.72,630.61,2007-01-14
14,54.56,1607.72,630.61,2007-01-15
15,54.56,1607.72,630.61,2007-01-16
16,54.56,1607.72,630.61,2007-01-17
17,54.56,1607.72,630.61,2007-01-18
18,54.56,1607.72,630.61,2007-01-19
19,54.56,1607.72,630.61,2007-01-20
20,54.56,1607.72,630.61,2007-01-21
21,54.56,1607.72,630.61,2007-01-22
22,54.56,1607.72,630.61,2007-01-23
23,54.56,1607.72,630.61,2007-01-24
24,54.56,1607.72,630.61,2007-01-25
25,54.56,1607.72,630.61,2007-01-26
26,54.56,1607.72,630.61,2007-01-27
27,54.56,1607.72,630.61,2007-01-28
28,54.56,1607.72,630.61,2007-01-29
29,54.56,1607.72,630.61,2007-01-30
30,54.56,1607.72,630.61,2007-01-31
31,58.96,1711.95,664.42,2007-02-01
32,58.96,1711.95,664.42,2007-02-02
33,58.96,1711.95,664.42,2007-02-03
34,58.96,1711.95,664.42,2007-02-04
35,58.96,1711.95,664.42,2007-02-05
36,58.96,1711.95,664.42,2007-02-06
37,58.96,1711.95,664.42,2007-02-07
38,58.96,1711.95,664.42,2007-02-08
39,58.96,1711.95,664.42,2007-02-09
40,58.96,1711.95,664.42,2007-02-10
41,58.96,1711.95,664.42,2007-02-11
42,58.96,1711.95,664.42,2007-02-12
43,58.96,1711.95,664.42,2007-02-13
44,58.96,1711.95,664.42,2007-02-14
45,58.96,1711.95,664.42,2007-02-15
46,58.96,1711.95,664.42,2007-02-16
47,58.96,1711.95,664.42,2007-02-17
48,58.96,1711.95,664.42,2007-02-18
49,58.96,1711.95,664.42,2007-02-19
50,58.96,1711.95,664.42,2007-02-20
51,58.96,1711.95,664.42,2007-02-21
52,58.96,1711.95,664.42,2007-02-22
53,58.96,1711.95,664.42,2007-02-23
54,58.96,1711.95,664.42,2007-02-24
55,58.96,1711.95,664.42,2007-02-25
56,58.96,1711.95,664.42,2007-02-26
57,58.96,1711.95,664.42,2007-02-27
58,58.96,1711.95,664.42,2007-02-28
59,62.36,1839.68,655.22,2007-03-01
60,62.36,1839.68,655.22,2007-03-02
61,62.36,1839.68,655.22,2007-03-03
62,62.36,1839.68,655.22,2007-03-04
63,62.36,1839.68,655.22,2007-03-05
64,62.36,1839.68,655.22,2007-03-06
65,62.36,1839.68,655.22,2007-03-07
66,62.36,1839.68,655.22,2007-03-08
67,62.36,1839.68,655.22,2007-03-09
68,62.36,1839.68,655.22,2007-03-10
69,62.36,1839.68,655.22,2007-03-11
70,62.36,1839.68,655.22,2007-03-12
71,62.36,1839.68,655.22,2007-03-13
72,62.36,1839.68,655.22,2007-03-14
73,62.36,1839.68,655.22,2007-03-15
74,62.36,1839.68,655.22,2007-03-16
75,62.36,1839.68,655.22,2007-03-17
76,62.36,1839.68,655.22,2007-03-18
77,62.36,1839.68,655.22,2007-03-19
78,62.36,1839.68,655.22,2007-03-20
79,62.36,1839.68,655.22,2007-03-21
80,62.36,1839.68,655.22,2007-03-22
81,62.36,1839.68,655.22,2007-03-23
82,62.36,1839.68,655.22,2007-03-24
83,62.36,1839.68,655.22,2007-03-25
84,62.36,1839.68,655.22,2007-03-26
85,62.36,1839.68,655.22,2007-03-27
86,62.36,1839.68,655.22,2007-03-28
87,62.36,1839.68,655.22,2007-03-29
88,62.36,1839.68,655.22,2007-03-30
89,62.36,1839.68,655.22,2007-03-31
90,67.49,1897.38,678.84,2007-04-01
91,67.49,1897.38,678.84,2007-04-02
92,67.49,1897.38,678.84,2007-04-03
93,67.49,1897.38,678.84,2007-04-04
94,67.49,1897.38,678.84,2007-04-05
95,67.49,1897.38,678.84,2007-04-06
96,67.49,1897.38,678.84,2007-04-07
97,67.49,1897.38,678.84,2007-04-08
98,67.49,1897.38,678.84,2007-04-09
99,67.49,1897.38,678.84,2007-04-10
100,67.49,1897.38,678.84,2007-04-11
101,67.49,1897.38,678.84,2007-04-12
102,67.49,1897.38,678.84,2007-04-13
103,67.49,1897.38,678.84,2007-04-14
104,67.49,1897.38,678.84,2007-04-15
105,67.49,1897.38,678.84,2007-04-16
106,67.49,1897.38,678.84,2007-04-17
107,67.49,1897.38,678.84,2007-04-18
108,67.49,1897.38,678.84,2007-04-19
109,67.49,1897.38,678.84,2007-04-20
