Date,Headline Inflation
2006-01-01,12.76
2006-01-02,12.76
2006-01-03,12.76
2006-01-04,12.76
2006-01-05,12.76
2006-01-06,12.76
2006-01-07,12.76
2006-01-08,12.76
2006-01-09,12.76
2006-01-10,12.76
2006-01-11,12.76
2006-01-12,12.76
2006-01-13,12.76
2006-01-14,12.76
2006-01-15,12.76
2006-01-16,12.76
2006-01-17,12.76
2006-01-18,12.76
2006-01-19,12.76
2006-01-20,12.76
2006-01-21,12.76
2006-01-22,12.76
2006-01-23,12.76
2006-01-24,12.76
2006-01-25,12.76
2006-01-26,12.76
2006-01-27,12.76
2006-01-28,12.76
2006-01-29,12.76
2006-01-30,12.76
2006-01-31,12.76
2006-02-01,12.27
2006-02-02,12.27
2006-02-03,12.27
2006-02-04,12.27
2006-02-05,12.27
2006-02-06,12.27
2006-02-07,12.27
2006-02-08,12.27
2006-02-09,12.27
2006-02-10,12.27
2006-02-11,12.27
2006-02-12,12.27
2006-02-13,12.27
2006-02-14,12.27
2006-02-15,12.27
2006-02-16,12.27
2006-02-17,12.27
2006-02-18,12.27
2006-02-19,12.27
2006-02-20,12.27
2006-02-21,12.27
2006-02-22,12.27
2006-02-23,12.27
2006-02-24,12.27
2006-02-25,12.27
2006-02-26,12.27
2006-02-27,12.27
2006-02-28,12.27
2006-03-01,11.28
2006-03-02,11.28
2006-03-03,11.28
2006-03-04,11.28
2006-03-05,11.28
2006-03-06,11.28
2006-03-07,11.28
2006-03-08,11.28
2006-03-09,11.28
2006-03-10,11.28
2006-03-11,11.28
2006-03-12,11.28
2006-03-13,11.28
2006-03-14,11.28
2006-03-15,11.28
2006-03-16,11.28
2006-03-17,11.28
2006-03-18,11.28
2006-03-19,11.28
2006-03-20,11.28
2006-03-21,11.28
2006-03-22,11.28
2006-03-23,11.28
2006-03-24,11.28
2006-03-25,11.28
2006-03-26,11.28
2006-03-27,11.28
2006-03-28,11.28
2006-03-29,11.28
2006-03-30,11.28
2006-03-31,11.28
2006-04-01,11.21
2006-04-02,11.21
2006-04-03,11.21
2006-04-04,11.21
2006-04-05,11.21
2006-04-06,11.21
2006-04-07,11.21
2006-04-08,11.21
2006-04-09,11.21
2006-04-10,11.21
2006-04-11,11.21
2006-04-12,11.21
2006-04-13,11.21
2006-04-14,11.21
2006-04-15,11.21
2006-04-16,11.21
2006-04-17,11.21
2006-04-18,11.21
2006-04-19,11.21
2006-04-20,11.21
2006-04-21,11.21
2006-04-22,11.21
2006-04-23,11.21
2006-04-24,11.21
2006-04-25,11.21
2006-04-26,11.21
2006-04-27,11.21
2006-04-28,11.21
2006-04-29,11.21
2006-04-30,11.21
2006-05-01,11.75
2006-05-02,11.75
2006-05-03,11.75
2006-05-04,11.75
2006-05-05,11.75
2006-05-06,11.75
2006-05-07,11.75
2006-05-08,11.75
2006-05-09,11.75
2006-05-10,11.75
2006-05-11,11.75
2006-05-12,11.75
2006-05-13,11.75
2006-05-14,11.75
2006-05-15,11.75
2006-05-16,11.75
2006-05-17,11.75
2006-05-18,11.75
2006-05-19,11.75
2006-05-20,11.75
2006-05-21,11.75
2006-05-22,11.75
2006-05-23,11.75
2006-05-24,11.75
2006-05-25,11.75
2006-05-26,11.75
2006-05-27,11.75
2006-05-28,11.75
2006-05-29,11.75
2006-05-30,11.75
2006-05-31,11.75
2006-06-01,11.39
2006-06-02,11.39
2006-06-03,11.39
2006-06-04,11.39
2006-06-05,11.39
2006-06-06,11.39
2006-06-07,11.39
2006-06-08,11.39
2006-06-09,11.39
2006-06-10,11.39
2006-06-11,11.39
2006-06-12,11.39
2006-06-13,11.39
2006-06-14,11.39
2006-06-15,11.39
2006-06-16,11.39
2006-06-17,11.39
2006-06-18,11.39
2006-06-19,11.39
2006-06-20,11.39
2006-06-21,11.39
2006-06-22,11.39
2006-06-23,11.39
2006-06-24,11.39
2006-06-25,11.39
2006-06-26,11.39
2006-06-27,11.39
2006-06-28,11.39
2006-06-29,11.39
2006-06-30,11.39
2006-07-01,12.91
2006-07-02,12.91
2006-07-03,12.91
2006-07-04,12.91
2006-07-05,12.91
2006-07-06,12.91
2006-07-07,12.91
2006-07-08,12.91
2006-07-09,12.91
2006-07-10,12.91
2006-07-11,12.91
2006-07-12,12.91
2006-07-13,12.91
2006-07-14,12.91
2006-07-15,12.91
2006-07-16,12.91
2006-07-17,12.91
2006-07-18,12.91
2006-07-19,12.91
2006-07-20,12.91
2006-07-21,12.91
2006-07-22,12.91
2006-07-23,12.91
2006-07-24,12.91
2006-07-25,12.91
2006-07-26,12.91
2006-07-27,12.91
2006-07-28,12.91
2006-07-29,12.91
2006-07-30,12.91
2006-07-31,12.91
2006-08-01,12.56
2006-08-02,12.56
2006-08-03,12.56
2006-08-04,12.56
2006-08-05,12.56
2006-08-06,12.56
2006-08-07,12.56
2006-08-08,12.56
2006-08-09,12.56
2006-08-10,12.56
2006-08-11,12.56
2006-08-12,12.56
2006-08-13,12.56
2006-08-14,12.56
2006-08-15,12.56
2006-08-16,12.56
2006-08-17,12.56
2006-08-18,12.56
2006-08-19,12.56
2006-08-20,12.56
2006-08-21,12.56
2006-08-22,12.56
2006-08-23,12.56
2006-08-24,12.56
2006-08-25,12.56
2006-08-26,12.56
2006-08-27,12.56
2006-08-28,12.56
2006-08-29,12.56
2006-08-30,12.56
2006-08-31,12.56
2006-09-01,11.67
2006-09-02,11.67
2006-09-03,11.67
2006-09-04,11.67
2006-09-05,11.67
2006-09-06,11.67
2006-09-07,11.67
2006-09-08,11.67
2006-09-09,11.67
2006-09-10,11.67
2006-09-11,11.67
2006-09-12,11.67
2006-09-13,11.67
2006-09-14,11.67
2006-09-15,11.67
2006-09-16,11.67
2006-09-17,11.67
2006-09-18,11.67
2006-09-19,11.67
2006-09-20,11.67
2006-09-21,11.67
2006-09-22,11.67
2006-09-23,11.67
2006-09-24,11.67
2006-09-25,11.67
2006-09-26,11.67
2006-09-27,11.67
2006-09-28,11.67
2006-09-29,11.67
2006-09-30,11.67
2006-10-01,10.87
2006-10-02,10.87
2006-10-03,10.87
2006-10-04,10.87
2006-10-05,10.87
2006-10-06,10.87
2006-10-07,10.87
2006-10-08,10.87
2006-10-09,10.87
2006-10-10,10.87
2006-10-11,10.87
2006-10-12,10.87
2006-10-13,10.87
2006-10-14,10.87
2006-10-15,10.87
2006-10-16,10.87
2006-10-17,10.87
2006-10-18,10.87
2006-10-19,10.87
2006-10-20,10.87
2006-10-21,10.87
2006-10-22,10.87
2006-10-23,10.87
2006-10-24,10.87
2006-10-25,10.87
2006-10-26,10.87
2006-10-27,10.87
2006-10-28,10.87
2006-10-29,10.87
2006-10-30,10.87
2006-10-31,10.87
2006-11-01,10.7
2006-11-02,10.7
2006-11-03,10.7
2006-11-04,10.7
2006-11-05,10.7
2006-11-06,10.7
2006-11-07,10.7
2006-11-08,10.7
2006-11-09,10.7
2006-11-10,10.7
2006-11-11,10.7
2006-11-12,10.7
2006-11-13,10.7
2006-11-14,10.7
2006-11-15,10.7
2006-11-16,10.7
2006-11-17,10.7
2006-11-18,10.7
2006-11-19,10.7
2006-11-20,10.7
2006-11-21,10.7
2006-11-22,10.7
2006-11-23,10.7
2006-11-24,10.7
2006-11-25,10.7
2006-11-26,10.7
2006-11-27,10.7
2006-11-28,10.7
2006-11-29,10.7
2006-11-30,10.7
2006-12-01,10.92
2006-12-02,10.92
2006-12-03,10.92
2006-12-04,10.92
2006-12-05,10.92
2006-12-06,10.92
2006-12-07,10.92
2006-12-08,10.92
2006-12-09,10.92
2006-12-10,10.92
2006-12-11,10.92
2006-12-12,10.92
2006-12-13,10.92
2006-12-14,10.92
2006-12-15,10.92
2006-12-16,10.92
2006-12-17,10.92
2006-12-18,10.92
2006-12-19,10.92
2006-12-20,10.92
2006-12-21,10.92
2006-12-22,10.92
2006-12-23,10.92
2006-12-24,10.92
2006-12-25,10.92
2006-12-26,10.92
2006-12-27,10.92
2006-12-28,10.92
2006-12-29,10.92
2006-12-30,10.92
2006-12-31,10.92
2007-01-01,10.89
2007-01-02,10.89
2007-01-03,10.89
2007-01-04,10.89
2007-01-05,10.89
2007-01-06,10.89
2007-01-07,10.89
2007-01-08,10.89
2007-01-09,10.89
2007-01-10,10.89
2007-01-11,10.89
2007-01-12,10.89
2007-01-13,10.89
2007-01-14,10.89
2007-01-15,10.89
2007-01-16,10.89
2007-01-17,10.89
2007-01-18,10.89
2007-01-19,10.89
2007-01-20,10.89
2007-01-21,10.89
2007-01-22,10.89
2007-01-23,10.89
2007-01-24,10.89
2007-01-25,10.89
2007-01-26,10.89
2007-01-27,10.89
2007-01-28,10.89
2007-01-29,10.89
2007-01-30,10.89
2007-01-31,10.89
2007-02-01,10.42
2007-02-02,10.42
2007-02-03,10.42
2007-02-04,10.42
2007-02-05,10.42
2007-02-06,10.42
2007-02-07,10.42
2007-02-08,10.42
2007-02-09,10.42
2007-02-10,10.42
2007-02-11,10.42
2007-02-12,10.42
2007-02-13,10.42
2007-02-14,10.42
2007-02-15,10.42
2007-02-16,10.42
2007-02-17,10.42
2007-02-18,10.42
2007-02-19,10.42
2007-02-20,10.42
2007-02-21,10.42
2007-02-22,10.42
2007-02-23,10.42
2007-02-24,10.42
2007-02-25,10.42
2007-02-26,10.42
2007-02-27,10.42
2007-02-28,10.42
2007-03-01,10.19
2007-03-02,10.19
2007-03-03,10.19
2007-03-04,10.19
2007-03-05,10.19
2007-03-06,10.19
2007-03-07,10.19
2007-03-08,10.19
2007-03-09,10.19
2007-03-10,10.19
2007-03-11,10.19
2007-03-12,10.19
2007-03-13,10.19
2007-03-14,10.19
2007-03-15,10.19
2007-03-16,10.19
2007-03-17,10.19
2007-03-18,10.19
2007-03-19,10.19
2007-03-20,10.19
2007-03-21,10.19
2007-03-22,10.19
2007-03-23,10.19
2007-03-24,10.19
2007-03-25,10.19
2007-03-26,10.19
2007-03-27,10.19
2007-03-28,10.19
2007-03-29,10.19
2007-03-30,10.19
2007-03-31,10.19
2007-04-01,10.5
2007-04-02,10.5
2007-04-03,10.5
2007-04-04,10.5
2007-04-05,10.5
2007-04-06,10.5
2007-04-07,10.5
2007-04-08,10.5
2007-04-09,10.5
2007-04-10,10.5
2007-04-11,10.5
2007-04-12,10.5
2007-04-13,10.5
