,Date,Interbank weighted average rate,Monetary policy rate
0,2023-12-01,30.2,30.0
1,2023-12-02,30.2,30.0
2,2023-12-03,30.2,30.0
3,2023-12-04,30.2,30.0
4,2023-12-05,30.2,30.0
5,2023-12-06,30.2,30.0
6,2023-12-07,30.2,30.0
7,2023-12-08,30.2,30.0
8,2023-12-09,30.2,30.0
9,2023-12-10,30.2,30.0
10,2023-12-11,30.2,30.0
11,2023-12-12,30.2,30.0
12,2023-12-13,30.2,30.0
13,2023-12-14,30.2,30.0
14,2023-12-15,30.2,30.0
15,2023-12-16,30.2,30.0
16,2023-12-17,30.2,30.0
17,2023-12-18,30.2,30.0
18,2023-12-19,30.2,30.0
19,2023-12-20,30.2,30.0
20,2023-12-21,30.2,30.0
21,2023-12-22,30.2,30.0
22,2023-12-23,30.2,30.0
23,2023-12-24,30.2,30.0
24,2023-12-25,30.2,30.0
25,2023-12-26,30.2,30.0
26,2023-12-27,30.2,30.0
27,2023-12-28,30.2,30.0
28,2023-12-29,30.2,30.0
29,2023-12-30,30.2,30.0
30,2023-12-31,30.2,30.0
31,2023-11-01,29.1,30.0
32,2023-11-02,29.1,30.0
33,2023-11-03,29.1,30.0
34,2023-11-04,29.1,30.0
35,2023-11-05,29.1,30.0
36,2023-11-06,29.1,30.0
37,2023-11-07,29.1,30.0
38,2023-11-08,29.1,30.0
39,2023-11-09,29.1,30.0
40,2023-11-10,29.1,30.0
41,2023-11-11,29.1,30.0
42,2023-11-12,29.1,30.0
43,2023-11-13,29.1,30.0
44,2023-11-14,29.1,30.0
45,2023-11-15,29.1,30.0
46,2023-11-16,29.1,30.0
47,2023-11-17,29.1,30.0
48,2023-11-18,29.1,30.0
49,2023-11-19,29.1,30.0
50,2023-11-20,29.1,30.0
51,2023-11-21,29.1,30.0
52,2023-11-22,29.1,30.0
53,2023-11-23,29.1,30.0
54,2023-11-24,29.1,30.0
55,2023-11-25,29.1,30.0
56,2023-11-26,29.1,30.0
57,2023-11-27,29.1,30.0
58,2023-11-28,29.1,30.0
59,2023-11-29,29.1,30.0
60,2023-11-30,29.1,30.0
61,2023-10-01,28.5,30.0
62,2023-10-02,28.5,30.0
63,2023-10-03,28.5,30.0
64,2023-10-04,28.5,30.0
65,2023-10-05,28.5,30.0
66,2023-10-06,28.5,30.0
67,2023-10-07,28.5,30.0
68,2023-10-08,28.5,30.0
69,2023-10-09,28.5,30.0
70,2023-10-10,28.5,30.0
71,2023-10-11,28.5,30.0
72,2023-10-12,28.5,30.0
73,2023-10-13,28.5,30.0
74,2023-10-14,28.5,30.0
75,2023-10-15,28.5,30.0
76,2023-10-16,28.5,30.0
77,2023-10-17,28.5,30.0
78,2023-10-18,28.5,30.0
79,2023-10-19,28.5,30.0
80,2023-10-20,28.5,30.0
81,2023-10-21,28.5,30.0
82,2023-10-22,28.5,30.0
83,2023-10-23,28.5,30.0
84,2023-10-24,28.5,30.0
85,2023-10-25,28.5,30.0
86,2023-10-26,28.5,30.0
87,2023-10-27,28.5,30.0
