Date,Buying,Selling,MidRate,MPR,FoodInflation,GhInflationRate,NonFoodInflation,BrentOil,Cocoa,Gold,GhInterestRate,NetForeignAssets,NIR,Imports,Exports,GhGDP,GhCompositeIndex,FXDeposits,InterbankWeightedAvg,T-bill-182,T-bill-91,PrivateSectorCredit,TradeBalance,USGDP,USInflationRate,USInterestRate
2022-12-01,13.0973,13.1105,13.1039,27.0,59.7,54.1,49.9,81.34,2538.57,1796.21,25.508,-1838.225691,2673.172463,1099.63,1592.76,48793.5,0.0,45124.35,25.51,36.23,35.48,63753.45,450.75,22249.459,116.977,3.83
2022-11-30,13.0978,13.111,13.1044,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-29,13.098,13.1112,13.1046,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-28,13.0982,13.1114,13.1048,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-25,13.0985,13.1117,13.1051,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-24,13.0987,13.1119,13.1053,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-23,13.0989,13.1121,13.1055,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-22,13.0986,13.1118,13.1052,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-21,13.0988,13.112,13.1054,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-18,13.099,13.1122,13.1056,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-17,13.0991,13.1123,13.1057,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-16,13.0892,13.1022,13.0957,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-15,13.0742,13.0872,13.0807,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-14,13.0744,13.0874,13.0809,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-11,13.0694,13.0824,13.0759,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-10,13.0694,13.0824,13.0759,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-09,13.0494,13.0624,13.0559,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-08,13.0314,13.0444,13.0379,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-07,13.0114,13.0244,13.0179,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-04,13.0012,13.0142,13.0077,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-03,13.0017,13.0147,13.0082,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.83
2022-11-02,13.0029,13.0159,13.0094,27.0,55.3,50.3,46.5,90.38,2469.1,1726.39,25.8,-2167.127029,2299.090848,1010.36,1535.87,48793.5,-6.16,66496.63,25.8,35.68,34.62,73744.05,444.36,22249.459,116.554,3.08
