Date,US_GDP
2008-01-01,16843.003
2008-01-02,16843.003
2008-01-03,16843.003
2008-01-04,16843.003
2008-01-05,16843.003
2008-01-06,16843.003
2008-01-07,16843.003
2008-01-08,16843.003
2008-01-09,16843.003
2008-01-10,16843.003
2008-01-11,16843.003
2008-01-12,16843.003
2008-01-13,16843.003
2008-01-14,16843.003
2008-01-15,16843.003
2008-01-16,16843.003
2008-01-17,16843.003
2008-01-18,16843.003
2008-01-19,16843.003
2008-01-20,16843.003
2008-01-21,16843.003
2008-01-22,16843.003
2008-01-23,16843.003
2008-01-24,16843.003
2008-01-25,16843.003
2008-01-26,16843.003
2008-01-27,16843.003
2008-01-28,16843.003
2008-01-29,16843.003
2008-01-30,16843.003
2008-01-31,16843.003
2008-02-01,16843.003
2008-02-02,16843.003
2008-02-03,16843.003
2008-02-04,16843.003
2008-02-05,16843.003
2008-02-06,16843.003
2008-02-07,16843.003
2008-02-08,16843.003
2008-02-09,16843.003
2008-02-10,16843.003
2008-02-11,16843.003
2008-02-12,16843.003
2008-02-13,16843.003
2008-02-14,16843.003
2008-02-15,16843.003
2008-02-16,16843.003
2008-02-17,16843.003
2008-02-18,16843.003
2008-02-19,16843.003
2008-02-20,16843.003
2008-02-21,16843.003
2008-02-22,16843.003
2008-02-23,16843.003
2008-02-24,16843.003
2008-02-25,16843.003
2008-02-26,16843.003
2008-02-27,16843.003
2008-02-28,16843.003
2008-02-29,16843.003
2008-03-01,16843.003
2008-03-02,16843.003
2008-03-03,16843.003
2008-03-04,16843.003
2008-03-05,16843.003
2008-03-06,16843.003
2008-03-07,16843.003
2008-03-08,16843.003
2008-03-09,16843.003
2008-03-10,16843.003
2008-03-11,16843.003
2008-03-12,16843.003
2008-03-13,16843.003
2008-03-14,16843.003
2008-03-15,16843.003
2008-03-16,16843.003
2008-03-17,16843.003
2008-03-18,16843.003
2008-03-19,16843.003
2008-03-20,16843.003
2008-03-21,16843.003
2008-03-22,16843.003
2008-03-23,16843.003
2008-03-24,16843.003
2008-03-25,16843.003
2008-03-26,16843.003
2008-03-27,16843.003
2008-03-28,16843.003
2008-03-29,16843.003
2008-03-30,16843.003
2008-03-31,16843.003
2008-04-01,16943.291
2008-04-02,16943.291
2008-04-03,16943.291
2008-04-04,16943.291
2008-04-05,16943.291
2008-04-06,16943.291
2008-04-07,16943.291
2008-04-08,16943.291
2008-04-09,16943.291
2008-04-10,16943.291
2008-04-11,16943.291
2008-04-12,16943.291
2008-04-13,16943.291
2008-04-14,16943.291
2008-04-15,16943.291
2008-04-16,16943.291
2008-04-17,16943.291
2008-04-18,16943.291
2008-04-19,16943.291
2008-04-20,16943.291
2008-04-21,16943.291
2008-04-22,16943.291
2008-04-23,16943.291
2008-04-24,16943.291
2008-04-25,16943.291
2008-04-26,16943.291
2008-04-27,16943.291
2008-04-28,16943.291
2008-04-29,16943.291
2008-04-30,16943.291
2008-05-01,16943.291
2008-05-02,16943.291
2008-05-03,16943.291
2008-05-04,16943.291
2008-05-05,16943.291
2008-05-06,16943.291
2008-05-07,16943.291
2008-05-08,16943.291
2008-05-09,16943.291
2008-05-10,16943.291
2008-05-11,16943.291
2008-05-12,16943.291
2008-05-13,16943.291
2008-05-14,16943.291
2008-05-15,16943.291
2008-05-16,16943.291
2008-05-17,16943.291
2008-05-18,16943.291
2008-05-19,16943.291
2008-05-20,16943.291
2008-05-21,16943.291
2008-05-22,16943.291
2008-05-23,16943.291
2008-05-24,16943.291
2008-05-25,16943.291
2008-05-26,16943.291
2008-05-27,16943.291
2008-05-28,16943.291
2008-05-29,16943.291
2008-05-30,16943.291
2008-05-31,16943.291
2008-06-01,16943.291
2008-06-02,16943.291
2008-06-03,16943.291
2008-06-04,16943.291
2008-06-05,16943.291
2008-06-06,16943.291
2008-06-07,16943.291
2008-06-08,16943.291
2008-06-09,16943.291
2008-06-10,16943.291
2008-06-11,16943.291
2008-06-12,16943.291
2008-06-13,16943.291
2008-06-14,16943.291
2008-06-15,16943.291
2008-06-16,16943.291
2008-06-17,16943.291
2008-06-18,16943.291
2008-06-19,16943.291
2008-06-20,16943.291
2008-06-21,16943.291
2008-06-22,16943.291
2008-06-23,16943.291
2008-06-24,16943.291
2008-06-25,16943.291
2008-06-26,16943.291
2008-06-27,16943.291
2008-06-28,16943.291
2008-06-29,16943.291
2008-06-30,16943.291
2008-07-01,16854.295
2008-07-02,16854.295
2008-07-03,16854.295
2008-07-04,16854.295
2008-07-05,16854.295
2008-07-06,16854.295
2008-07-07,16854.295
2008-07-08,16854.295
2008-07-09,16854.295
2008-07-10,16854.295
2008-07-11,16854.295
2008-07-12,16854.295
2008-07-13,16854.295
2008-07-14,16854.295
2008-07-15,16854.295
2008-07-16,16854.295
2008-07-17,16854.295
2008-07-18,16854.295
2008-07-19,16854.295
2008-07-20,16854.295
2008-07-21,16854.295
2008-07-22,16854.295
2008-07-23,16854.295
2008-07-24,16854.295
2008-07-25,16854.295
2008-07-26,16854.295
2008-07-27,16854.295
2008-07-28,16854.295
2008-07-29,16854.295
2008-07-30,16854.295
2008-07-31,16854.295
2008-08-01,16854.295
2008-08-02,16854.295
2008-08-03,16854.295
2008-08-04,16854.295
2008-08-05,16854.295
2008-08-06,16854.295
2008-08-07,16854.295
2008-08-08,16854.295
2008-08-09,16854.295
2008-08-10,16854.295
2008-08-11,16854.295
2008-08-12,16854.295
2008-08-13,16854.295
2008-08-14,16854.295
2008-08-15,16854.295
2008-08-16,16854.295
2008-08-17,16854.295
2008-08-18,16854.295
2008-08-19,16854.295
2008-08-20,16854.295
2008-08-21,16854.295
2008-08-22,16854.295
2008-08-23,16854.295
2008-08-24,16854.295
2008-08-25,16854.295
2008-08-26,16854.295
2008-08-27,16854.295
2008-08-28,16854.295
2008-08-29,16854.295
2008-08-30,16854.295
2008-08-31,16854.295
2008-09-01,16854.295
2008-09-02,16854.295
2008-09-03,16854.295
2008-09-04,16854.295
2008-09-05,16854.295
2008-09-06,16854.295
2008-09-07,16854.295
2008-09-08,16854.295
2008-09-09,16854.295
2008-09-10,16854.295
2008-09-11,16854.295
2008-09-12,16854.295
2008-09-13,16854.295
2008-09-14,16854.295
2008-09-15,16854.295
2008-09-16,16854.295
2008-09-17,16854.295
2008-09-18,16854.295
2008-09-19,16854.295
2008-09-20,16854.295
2008-09-21,16854.295
2008-09-22,16854.295
2008-09-23,16854.295
2008-09-24,16854.295
2008-09-25,16854.295
2008-09-26,16854.295
2008-09-27,16854.295
2008-09-28,16854.295
2008-09-29,16854.295
2008-09-30,16854.295
2008-10-01,16485.35
2008-10-02,16485.35
2008-10-03,16485.35
2008-10-04,16485.35
2008-10-05,16485.35
2008-10-06,16485.35
2008-10-07,16485.35
2008-10-08,16485.35
2008-10-09,16485.35
2008-10-10,16485.35
2008-10-11,16485.35
2008-10-12,16485.35
2008-10-13,16485.35
2008-10-14,16485.35
2008-10-15,16485.35
2008-10-16,16485.35
2008-10-17,16485.35
2008-10-18,16485.35
2008-10-19,16485.35
2008-10-20,16485.35
2008-10-21,16485.35
2008-10-22,16485.35
2008-10-23,16485.35
2008-10-24,16485.35
2008-10-25,16485.35
2008-10-26,16485.35
2008-10-27,16485.35
2008-10-28,16485.35
2008-10-29,16485.35
2008-10-30,16485.35
2008-10-31,16485.35
2008-11-01,16485.35
2008-11-02,16485.35
2008-11-03,16485.35
2008-11-04,16485.35
2008-11-05,16485.35
2008-11-06,16485.35
2008-11-07,16485.35
2008-11-08,16485.35
2008-11-09,16485.35
2008-11-10,16485.35
2008-11-11,16485.35
2008-11-12,16485.35
2008-11-13,16485.35
2008-11-14,16485.35
2008-11-15,16485.35
2008-11-16,16485.35
2008-11-17,16485.35
2008-11-18,16485.35
2008-11-19,16485.35
2008-11-20,16485.35
2008-11-21,16485.35
2008-11-22,16485.35
2008-11-23,16485.35
2008-11-24,16485.35
2008-11-25,16485.35
2008-11-26,16485.35
2008-11-27,16485.35
2008-11-28,16485.35
2008-11-29,16485.35
2008-11-30,16485.35
2008-12-01,16485.35
2008-12-02,16485.35
2008-12-03,16485.35
2008-12-04,16485.35
2008-12-05,16485.35
2008-12-06,16485.35
2008-12-07,16485.35
2008-12-08,16485.35
2008-12-09,16485.35
2008-12-10,16485.35
2008-12-11,16485.35
2008-12-12,16485.35
2008-12-13,16485.35
2008-12-14,16485.35
2008-12-15,16485.35
2008-12-16,16485.35
2008-12-17,16485.35
2008-12-18,16485.35
2008-12-19,16485.35
2008-12-20,16485.35
2008-12-21,16485.35
2008-12-22,16485.35
2008-12-23,16485.35
2008-12-24,16485.35
2008-12-25,16485.35
2008-12-26,16485.35
2008-12-27,16485.35
2008-12-28,16485.35
2008-12-29,16485.35
2008-12-30,16485.35
2008-12-31,16485.35
2009-01-01,16298.262
2009-01-02,16298.262
2009-01-03,16298.262
2009-01-04,16298.262
2009-01-05,16298.262
2009-01-06,16298.262
2009-01-07,16298.262
2009-01-08,16298.262
2009-01-09,16298.262
2009-01-10,16298.262
2009-01-11,16298.262
2009-01-12,16298.262
2009-01-13,16298.262
2009-01-14,16298.262
2009-01-15,16298.262
2009-01-16,16298.262
2009-01-17,16298.262
2009-01-18,16298.262
2009-01-19,16298.262
2009-01-20,16298.262
2009-01-21,16298.262
2009-01-22,16298.262
2009-01-23,16298.262
2009-01-24,16298.262
2009-01-25,16298.262
2009-01-26,16298.262
2009-01-27,16298.262
2009-01-28,16298.262
2009-01-29,16298.262
2009-01-30,16298.262
2009-01-31,16298.262
2009-02-01,16298.262
2009-02-02,16298.262
2009-02-03,16298.262
2009-02-04,16298.262
2009-02-05,16298.262
2009-02-06,16298.262
2009-02-07,16298.262
2009-02-08,16298.262
2009-02-09,16298.262
2009-02-10,16298.262
2009-02-11,16298.262
2009-02-12,16298.262
2009-02-13,16298.262
2009-02-14,16298.262
2009-02-15,16298.262
2009-02-16,16298.262
2009-02-17,16298.262
2009-02-18,16298.262
2009-02-19,16298.262
2009-02-20,16298.262
2009-02-21,16298.262
2009-02-22,16298.262
2009-02-23,16298.262
2009-02-24,16298.262
2009-02-25,16298.262
2009-02-26,16298.262
2009-02-27,16298.262
2009-02-28,16298.262
2009-03-01,16298.262
2009-03-02,16298.262
2009-03-03,16298.262
2009-03-04,16298.262
2009-03-05,16298.262
2009-03-06,16298.262
2009-03-07,16298.262
2009-03-08,16298.262
2009-03-09,16298.262
2009-03-10,16298.262
2009-03-11,16298.262
2009-03-12,16298.262
2009-03-13,16298.262
2009-03-14,16298.262
2009-03-15,16298.262
2009-03-16,16298.262
2009-03-17,16298.262
2009-03-18,16298.262
2009-03-19,16298.262
2009-03-20,16298.262
2009-03-21,16298.262
2009-03-22,16298.262
2009-03-23,16298.262
2009-03-24,16298.262
2009-03-25,16298.262
2009-03-26,16298.262
2009-03-27,16298.262
2009-03-28,16298.262
2009-03-29,16298.262
2009-03-30,16298.262
2009-03-31,16298.262
2009-04-01,16269.145
2009-04-02,16269.145
2009-04-03,16269.145
2009-04-04,16269.145
2009-04-05,16269.145
2009-04-06,16269.145
2009-04-07,16269.145
2009-04-08,16269.145
2009-04-09,16269.145
2009-04-10,16269.145
2009-04-11,16269.145
2009-04-12,16269.145
2009-04-13,16269.145
2009-04-14,16269.145
2009-04-15,16269.145
2009-04-16,16269.145
2009-04-17,16269.145
2009-04-18,16269.145
2009-04-19,16269.145
2009-04-20,16269.145
2009-04-21,16269.145
2009-04-22,16269.145
2009-04-23,16269.145
2009-04-24,16269.145
2009-04-25,16269.145
2009-04-26,16269.145
2009-04-27,16269.145
2009-04-28,16269.145
2009-04-29,16269.145
2009-04-30,16269.145
2009-05-01,16269.145
2009-05-02,16269.145
2009-05-03,16269.145
2009-05-04,16269.145
2009-05-05,16269.145
2009-05-06,16269.145
2009-05-07,16269.145
2009-05-08,16269.145
2009-05-09,16269.145
2009-05-10,16269.145
2009-05-11,16269.145
2009-05-12,16269.145
2009-05-13,16269.145
2009-05-14,16269.145
2009-05-15,16269.145
2009-05-16,16269.145
2009-05-17,16269.145
2009-05-18,16269.145
2009-05-19,16269.145
2009-05-20,16269.145
2009-05-21,16269.145
2009-05-22,16269.145
2009-05-23,16269.145
2009-05-24,16269.145
2009-05-25,16269.145
2009-05-26,16269.145
2009-05-27,16269.145
2009-05-28,16269.145
2009-05-29,16269.145
2009-05-30,16269.145
2009-05-31,16269.145
2009-06-01,16269.145
2009-06-02,16269.145
2009-06-03,16269.145
2009-06-04,16269.145
2009-06-05,16269.145
2009-06-06,16269.145
2009-06-07,16269.145
2009-06-08,16269.145
2009-06-09,16269.145
2009-06-10,16269.145
2009-06-11,16269.145
2009-06-12,16269.145
2009-06-13,16269.145
