Date,US_Inflation_Rate
01/01/2008,87.093
02/01/2008,87.093
03/01/2008,87.093
04/01/2008,87.093
05/01/2008,87.093
06/01/2008,87.093
07/01/2008,87.093
08/01/2008,87.093
09/01/2008,87.093
10/01/2008,87.093
11/01/2008,87.093
12/01/2008,87.093
13/01/2008,87.093
14/01/2008,87.093
15/01/2008,87.093
16/01/2008,87.093
17/01/2008,87.093
18/01/2008,87.093
19/01/2008,87.093
20/01/2008,87.093
21/01/2008,87.093
22/01/2008,87.093
23/01/2008,87.093
24/01/2008,87.093
25/01/2008,87.093
26/01/2008,87.093
27/01/2008,87.093
28/01/2008,87.093
29/01/2008,87.093
30/01/2008,87.093
31/01/2008,87.093
01/02/2008,87.178
02/02/2008,87.178
03/02/2008,87.178
04/02/2008,87.178
05/02/2008,87.178
06/02/2008,87.178
07/02/2008,87.178
08/02/2008,87.178
09/02/2008,87.178
10/02/2008,87.178
11/02/2008,87.178
12/02/2008,87.178
13/02/2008,87.178
14/02/2008,87.178
15/02/2008,87.178
16/02/2008,87.178
17/02/2008,87.178
18/02/2008,87.178
19/02/2008,87.178
20/02/2008,87.178
21/02/2008,87.178
22/02/2008,87.178
23/02/2008,87.178
24/02/2008,87.178
25/02/2008,87.178
26/02/2008,87.178
27/02/2008,87.178
28/02/2008,87.178
29/02/2008,87.178
01/03/2008,87.349
02/03/2008,87.349
03/03/2008,87.349
04/03/2008,87.349
05/03/2008,87.349
06/03/2008,87.349
07/03/2008,87.349
08/03/2008,87.349
09/03/2008,87.349
10/03/2008,87.349
11/03/2008,87.349
12/03/2008,87.349
13/03/2008,87.349
14/03/2008,87.349
15/03/2008,87.349
16/03/2008,87.349
17/03/2008,87.349
18/03/2008,87.349
19/03/2008,87.349
20/03/2008,87.349
21/03/2008,87.349
22/03/2008,87.349
23/03/2008,87.349
24/03/2008,87.349
25/03/2008,87.349
26/03/2008,87.349
27/03/2008,87.349
28/03/2008,87.349
29/03/2008,87.349
30/03/2008,87.349
31/03/2008,87.349
01/04/2008,87.4
02/04/2008,87.4
03/04/2008,87.4
04/04/2008,87.4
05/04/2008,87.4
06/04/2008,87.4
07/04/2008,87.4
08/04/2008,87.4
09/04/2008,87.4
10/04/2008,87.4
11/04/2008,87.4
12/04/2008,87.4
13/04/2008,87.4
14/04/2008,87.4
15/04/2008,87.4
16/04/2008,87.4
17/04/2008,87.4
18/04/2008,87.4
19/04/2008,87.4
20/04/2008,87.4
21/04/2008,87.4
22/04/2008,87.4
23/04/2008,87.4
24/04/2008,87.4
25/04/2008,87.4
26/04/2008,87.4
27/04/2008,87.4
28/04/2008,87.4
29/04/2008,87.4
30/04/2008,87.4
01/05/2008,87.559
02/05/2008,87.559
03/05/2008,87.559
04/05/2008,87.559
05/05/2008,87.559
06/05/2008,87.559
07/05/2008,87.559
08/05/2008,87.559
09/05/2008,87.559
10/05/2008,87.559
11/05/2008,87.559
12/05/2008,87.559
13/05/2008,87.559
14/05/2008,87.559
15/05/2008,87.559
16/05/2008,87.559
17/05/2008,87.559
18/05/2008,87.559
19/05/2008,87.559
20/05/2008,87.559
21/05/2008,87.559
22/05/2008,87.559
23/05/2008,87.559
