Date,Currency,Currency Pair,Buying,Selling,Mid Rate
31-Dec-24,US Dollar,USDGHS,14.6927,14.7074,14.7
30-Dec-24,US Dollar,USDGHS,14.7026,14.7174,14.71
27-Dec-24,US Dollar,USDGHS,14.6927,14.7074,14.7
24-Dec-24,US Dollar,USDGHS,14.6427,14.6573,14.65
23-Dec-24,US Dollar,USDGHS,14.6427,14.6573,14.65
20-Dec-24,US Dollar,USDGHS,14.6927,14.7074,14.7
19-Dec-24,US Dollar,USDGHS,14.7326,14.7474,14.74
18-Dec-24,US Dollar,USDGHS,14.7226,14.7374,14.73
17-Dec-24,US Dollar,USDGHS,14.7126,14.7274,14.72
16-Dec-24,US Dollar,USDGHS,14.7226,14.7374,14.73
13-Dec-24,US Dollar,USDGHS,14.7326,14.7474,14.74
12-Dec-24,US Dollar,USDGHS,14.7226,14.7374,14.73
11-Dec-24,US Dollar,USDGHS,14.6727,14.6873,14.68
10-Dec-24,US Dollar,USDGHS,14.7426,14.7574,14.75
09-Dec-24,US Dollar,USDGHS,14.7926,14.8074,14.8
05-Dec-24,US Dollar,USDGHS,14.8626,14.8774,14.87
04-Dec-24,US Dollar,USDGHS,14.9125,14.9275,14.92
03-Dec-24,US Dollar,USDGHS,15.1074,15.1226,15.115
02-Dec-24,US Dollar,USDGHS,15.1874,15.2026,15.195
29-Nov-24,US Dollar,USDGHS,15.2624,15.2776,15.27
28-Nov-24,US Dollar,USDGHS,15.3693,15.3847,15.377
27-Nov-24,US Dollar,USDGHS,15.4823,15.4977,15.49
26-Nov-24,US Dollar,USDGHS,15.6122,15.6278,15.62
25-Nov-24,US Dollar,USDGHS,15.7121,15.7279,15.72
22-Nov-24,US Dollar,USDGHS,15.7921,15.8079,15.8
21-Nov-24,US Dollar,USDGHS,15.8421,15.8579,15.85
20-Nov-24,US Dollar,USDGHS,15.8921,15.908,15.9
19-Nov-24,US Dollar,USDGHS,15.912,15.928,15.92
18-Nov-24,US Dollar,USDGHS,15.922,15.938,15.93
15-Nov-24,US Dollar,USDGHS,15.967,15.983,15.975
14-Nov-24,US Dollar,USDGHS,16.072,16.088,16.08
13-Nov-24,US Dollar,USDGHS,16.1419,16.1581,16.15
12-Nov-24,US Dollar,USDGHS,16.2419,16.2581,16.25
11-Nov-24,US Dollar,USDGHS,16.2919,16.3082,16.3
08-Nov-24,US Dollar,USDGHS,16.3419,16.3583,16.3501
07-Nov-24,US Dollar,USDGHS,16.1919,16.2081,16.2
06-Nov-24,US Dollar,USDGHS,16.4118,16.4282,16.42
05-Nov-24,US Dollar,USDGHS,16.3418,16.3582,16.35
04-Nov-24,US Dollar,USDGHS,16.3918,16.4082,16.4
01-Nov-24,US Dollar,USDGHS,16.2919,16.3082,16.3
31-Oct-24,US Dollar,USDGHS,16.2919,16.3082,16.3
30-Oct-24,US Dollar,USDGHS,16.2419,16.2581,16.25
29-Oct-24,US Dollar,USDGHS,16.2067,16.2229,16.2148
28-Oct-24,US Dollar,USDGHS,16.1419,16.1581,16.15
25-Oct-24,US Dollar,USDGHS,16.1419,16.1581,16.15
24-Oct-24,US Dollar,USDGHS,16.062,16.078,16.07
23-Oct-24,US Dollar,USDGHS,16.1419,16.1581,16.15
22-Oct-24,US Dollar,USDGHS,15.992,16.008,16
21-Oct-24,US Dollar,USDGHS,15.992,16.008,16
18-Oct-24,US Dollar,USDGHS,15.982,15.998,15.99
17-Oct-24,US Dollar,USDGHS,15.992,16.008,16
16-Oct-24,US Dollar,USDGHS,15.922,15.938,15.93
15-Oct-24,US Dollar,USDGHS,15.8921,15.908,15.9
14-Oct-24,US Dollar,USDGHS,15.962,15.978,15.97
11-Oct-24,US Dollar,USDGHS,15.8921,15.908,15.9
10-Oct-24,US Dollar,USDGHS,15.8421,15.8579,15.85
09-Oct-24,US Dollar,USDGHS,15.8921,15.908,15.9
08-Oct-24,US Dollar,USDGHS,15.8221,15.8379,15.83
07-Oct-24,US Dollar,USDGHS,15.8721,15.8879,15.88
04-Oct-24,US Dollar,USDGHS,15.7821,15.7979,15.79
03-Oct-24,US Dollar,USDGHS,15.7921,15.8079,15.8
02-Oct-24,US Dollar,USDGHS,15.8721,15.8879,15.88
01-Oct-24,US Dollar,USDGHS,15.8321,15.8479,15.84
30-Sep-24,US Dollar,USDGHS,15.7921,15.8079,15.8
27-Sep-24,US Dollar,USDGHS,15.8221,15.8379,15.83
26-Sep-24,US Dollar,USDGHS,15.7921,15.8079,15.8
25-Sep-24,US Dollar,USDGHS,15.6922,15.7079,15.7
24-Sep-24,US Dollar,USDGHS,15.7122,15.728,15.7201
20-Sep-24,US Dollar,USDGHS,15.748,15.7638,15.7559
19-Sep-24,US Dollar,USDGHS,15.7221,15.7379,15.73
18-Sep-24,US Dollar,USDGHS,15.7421,15.7579,15.75
17-Sep-24,US Dollar,USDGHS,15.6133,15.6289,15.6211
16-Sep-24,US Dollar,USDGHS,15.657,15.6726,15.6648
13-Sep-24,US Dollar,USDGHS,15.6337,15.6493,15.6415
12-Sep-24,US Dollar,USDGHS,15.5202,15.5358,15.528
11-Sep-24,US Dollar,USDGHS,15.4398,15.4552,15.4475
10-Sep-24,US Dollar,USDGHS,15.3598,15.3752,15.3675
09-Sep-24,US Dollar,USDGHS,15.3598,15.3752,15.3675
06-Sep-24,US Dollar,USDGHS,15.3373,15.3527,15.345
05-Sep-24,US Dollar,USDGHS,15.3158,15.3312,15.3235
04-Sep-24,US Dollar,USDGHS,15.2719,15.2871,15.2795
03-Sep-24,US Dollar,USDGHS,15.24,15.2552,15.2476
02-Sep-24,US Dollar,USDGHS,15.2226,15.2378,15.2302
30-Aug-24,US Dollar,USDGHS,15.1823,15.1975,15.1899
29-Aug-24,US Dollar,USDGHS,15.1643,15.1795,15.1719
28-Aug-24,US Dollar,USDGHS,15.1504,15.1656,15.158
27-Aug-24,US Dollar,USDGHS,15.1279,15.1431,15.1355
26-Aug-24,US Dollar,USDGHS,15.1289,15.1441,15.1365
23-Aug-24,US Dollar,USDGHS,15.1239,15.1391,15.1315
22-Aug-24,US Dollar,USDGHS,15.1239,15.1391,15.1315
21-Aug-24,US Dollar,USDGHS,15.1224,15.1376,15.13
20-Aug-24,US Dollar,USDGHS,15.1236,15.1388,15.1312
19-Aug-24,US Dollar,USDGHS,15.1236,15.1388,15.1312
16-Aug-24,US Dollar,USDGHS,15.1246,15.1398,15.1322
15-Aug-24,US Dollar,USDGHS,15.1251,15.1403,15.1327
14-Aug-24,US Dollar,USDGHS,15.1251,15.1403,15.1327
13-Aug-24,US Dollar,USDGHS,15.1265,15.1417,15.1341
12-Aug-24,US Dollar,USDGHS,15.108,15.1232,15.1156
09-Aug-24,US Dollar,USDGHS,15.0844,15.0994,15.0919
08-Aug-24,US Dollar,USDGHS,15.0499,15.0649,15.0574
07-Aug-24,US Dollar,USDGHS,15.0147,15.0297,15.0222
06-Aug-24,US Dollar,USDGHS,14.9836,14.9986,14.9911
02-Aug-24,US Dollar,USDGHS,14.9621,14.9771,14.9696
01-Aug-24,US Dollar,USDGHS,14.9426,14.9576,14.9501
31-Jul-24,US Dollar,USDGHS,14.8934,14.9084,14.9009
30-Jul-24,US Dollar,USDGHS,14.8832,14.898,14.8906
29-Jul-24,US Dollar,USDGHS,14.8284,14.8432,14.8358
26-Jul-24,US Dollar,USDGHS,14.8209,14.8357,14.8283
25-Jul-24,US Dollar,USDGHS,14.8111,14.8259,14.8185
24-Jul-24,US Dollar,USDGHS,14.791,14.8058,14.7984
23-Jul-24,US Dollar,USDGHS,14.779,14.7938,14.7864
22-Jul-24,US Dollar,USDGHS,14.7737,14.7885,14.7811
19-Jul-24,US Dollar,USDGHS,14.7737,14.7885,14.7811
18-Jul-24,US Dollar,USDGHS,14.7576,14.7724,14.765
17-Jul-24,US Dollar,USDGHS,14.753,14.7678,14.7604
16-Jul-24,US Dollar,USDGHS,14.7382,14.753,14.7456
15-Jul-24,US Dollar,USDGHS,14.7179,14.7327,14.7253
12-Jul-24,US Dollar,USDGHS,14.7098,14.7246,14.7172
11-Jul-24,US Dollar,USDGHS,14.7062,14.721,14.7136
10-Jul-24,US Dollar,USDGHS,14.7062,14.721,14.7136
09-Jul-24,US Dollar,USDGHS,14.7011,14.7159,14.7085
08-Jul-24,US Dollar,USDGHS,14.7011,14.7159,14.7085
05-Jul-24,US Dollar,USDGHS,14.6634,14.678,14.6707
04-Jul-24,US Dollar,USDGHS,14.6508,14.6654,14.6581
03-Jul-24,US Dollar,USDGHS,14.6508,14.6654,14.6581
02-Jul-24,US Dollar,USDGHS,14.6159,14.6305,14.6232
01-Jul-24,US Dollar,USDGHS,14.5787,14.5933,14.586
28-Jun-24,US Dollar,USDGHS,14.5787,14.5933,14.586
27-Jun-24,US Dollar,USDGHS,14.5537,14.5683,14.561
26-Jun-24,US Dollar,USDGHS,14.5385,14.5531,14.5458
