Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,84.9,80.21,79.2,81.15,75.61,74.24,81.79,85.28,93.05,88.28,81.85,76.08
2023,International Gold Price (US$/fine ounce) - Monthly Average,"1,816.43","1,857.11","1,949.43","1,935.24","1,849.50","1,837.07","1,737.13","1,763.71","1,682.12","1,666.68","1,726.39","1,796.21"
2023,International Cocoa Price (US$/Tonne) - Monthly Average,"2,545.86","2,681.11","2,591.26","2,588.10","2,484.48","2,428.38","2,333.55","2,385.96","2,338.67","2,337.71","2,469.10","2,538.57"
2022,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,85.48,94.28,112.51,105.81,111.55,117.22,105.14,97.74,90.57,93.6,90.38,81.34
2022,International Gold Price (US$/fine ounce) - Monthly Average,"1,816.43","1,857.11","1,949.43","1,935.24","1,849.50","1,837.07","1,737.13","1,763.71","1,682.12","1,666.68","1,726.39","1,796.21"
2022,International Cocoa Price (US$/Tonne) - Monthly Average,"2,545.86","2,681.11","2,591.26","2,588.10","2,484.48","2,428.38","2,333.55","2,385.96","2,338.67","2,337.71","2,469.10","2,538.57"
2021,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,55.33,62.27,65.84,65.33,68.34,73.35,74.29,70.51,74.88,83.75,80.75,74.8
2021,International Gold Price (US$/fine ounce) - Monthly Average,"1,867.04","1,810.34","1,722.49","1,759.21","1,849.28","1,835.15","1,805.15","1,785.67","1,778.29","1,775.58","1,818.44","1,790.90"
2021,International Cocoa Price (US$/Tonne) - Monthly Average,"2,523.95","2,508.84","2,520.78","2,419.48","2,450.45","2,407.50","2,354.43","2,555.86","2,627.18","2,632.62","2,504.59","2,481.95"
2020,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,63.67,55.53,33.73,26.63,32.11,40.77,43.24,45.04,41.87,41.36,43.98,50.23
2020,International Gold Price (US$/fine ounce) - Monthly Average,"1,560.74","1,596.81","1,590.59","1,681.01","1,716.82","1,734.69","1,843.17","1,971.07","1,924.47","1,901.68","1,867.87","1,857.19"
2020,International Cocoa Price (US$/Tonne) - Monthly Average,"2,673.09","2,825.90","2,407.05","2,324.29","2,402.90","2,324.82","2,206.77","2,482.14","2,596.38","2,423.55","2,509.38","2,581.32"
2019,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,60.23,64.5,67.05,71.66,70.3,63.05,64.19,59.47,62.29,59.63,62.71,65.17
2019,International Gold Price (US$/fine ounce) - Monthly Average,"1,292.09","1,319.95","1,300.72","1,286.24","1,283.37","1,359.68","1,414.66","1,501.01","1,508.42","1,494.31","1,471.15","1,481.33"
2019,International Cocoa Price (US$/Tonne) - Monthly Average,"2,318.19","2,273.84","2,202.48","2,370.43","2,365.77","2,467.10","2,456.86","2,238.59","2,375.80","2,474.13","2,589.55","2,518.38"
2018,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,69.09,65.7,66.68,71.67,77.06,75.94,75.04,73.85,79.09,80.63,65.96,57.67
2018,International Gold Price (US$/fine ounce) - Monthly Average,"1,331.70","1,332.41","1,325.71","1,334.88","1,303.03","1,281.08","1,238.30","1,200.94","1,198.14","1,213.97","1,220.81","1,251.11"
2018,International Cocoa Price (US$/Tonne) - Monthly Average,"1,940.52","2,109.42","2,498.95","2,663.52","2,692.91","2,435.71","2,373.05","2,208.39","2,230.42","2,138.91","2,226.81","2,256.25"
2017,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,55.51,55.98,52.53,53.72,51.11,47.54,49.2,51.87,55.23,57.47,62.87,64.27
2017,International Gold Price (US$/fine ounce) - Monthly Average,"1,192.76","1,233.80","1,231.39","1,270.01","1,246.12","1,261.76","1,236.55","1,283.40","1,315.82","1,280.62","1,282.38","1,266.56"
2017,International Cocoa Price (US$/Tonne) - Monthly Average,"2,180.18","2,002.95","2,036.39","1,952.55","1,952.74","1,956.82","1,929.38","1,947.57","1,970.29","2,085.36","2,123.68","1,904.60"
2016,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,31.93,33.44,39.8,43.34,47.63,49.89,46.58,47.16,47.23,51.42,47.08,54.93
2016,International Gold Price (US$/fine ounce) - Monthly Average,"1,098.12","1,198.79","1,243.02","1,242.79","1,258.14","1,277.75","1,338.26","1,339.20","1,325.36","1,267.19","1,237.58","1,151.16"
2016,International Cocoa Price (US$/Tonne) - Monthly Average,"2,895.00","2,860.86","3,010.13","3,084.38","3,023.64","3,070.55","2,998.90","2,993.52","2,845.73","2,694.62","2,441.73","2,268.36"
2015,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,49.77,58.7,57.01,60.9,65.62,63.75,56.75,48.18,48.57,49.12,45.72,38.92
2015,International Gold Price (US$/fine ounce) - Monthly Average,"1,249.89","1,228.58","1,181.22","1,194.68","1,202.31","1,182.90","1,130.52","1,118.05","1,124.67","1,157.76","1,087.12","1,069.40"
2015,International Cocoa Price (US$/Tonne) - Monthly Average,"2,871.15","2,894.00","2,796.86","2,830.05","3,056.05","3,193.68","3,276.78","3,093.71","3,235.32","3,134.73","3,313.81","3,300.76"
2014,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,107.32,108.8,107.68,108.1,109.2,111.97,108.21,103.48,98.56,88.07,79.48,62.36
2014,International Gold Price (US$/fine ounce) - Monthly Average,"1,244.39","1,305.79","1,335.40","1,298.22","1,288.13","1,280.18","1,311.62","1,295.54","1,237.68","1,226.74","1,176.69","1,200.68"
2014,International Cocoa Price (US$/Tonne) - Monthly Average,"2,746.32","2,940.26","2,976.43","2,972.90","2,953.86","3,090.10","3,124.00","3,225.19","3,182.00","3,057.78","2,852.65","2,919.09"
2013,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,112.28,116.11,109.53,103.31,103.32,103.3,107.37,110.25,111.21,109.45,107.77,110.6
2013,International Gold Price (US$/fine ounce) - Monthly Average,"1,670.62","1,626.62","1,593.51","1,491.05","1,415.81","1,337.51","1,288.53","1,351.00","1,349.47","1,316.66","1,273.90","1,223.03"
2013,International Cocoa Price (US$/Tonne) - Monthly Average,"2,233.65","2,167.00","2,119.55","2,265.95","2,315.43","2,248.75","2,269.22","2,448.73","2,573.38","2,702.65","2,732.01","2,779.14"
2012,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,111.63,119.15,124.62,120.37,109.36,95.89,102.77,113.19,113.04,111.52,109.53,109.19
2012,International Gold Price (US$/fine ounce) - Monthly Average,"1,661.03","1,742.51","1,672.92","1,647.70","1,579.24","1,602.91","1,590.96","1,631.05","1,746.89","1,744.96","1,721.17","1,678.82"
2012,International Cocoa Price (US$/Tonne) - Monthly Average,"2,266.05","2,313.52","2,315.00","2,197.80","2,207.83","2,191.05","2,269.95","2,452.04","2,577.20","2,409.78","2,440.23","2,364.81"
2011,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,96.82,104.09,114.62,123.13,114.53,113.91,116.68,109.82,109.96,108.8,110.61,107.72
2011,International Gold Price (US$/fine ounce) - Monthly Average,"1,359.46","1,372.35","1,422.50","1,481.10","1,515.22","1,528.25","1,575.15","1,770.13","1,768.96","1,673.66","1,744.69","1,658.49"
2011,International Cocoa Price (US$/Tonne) - Monthly Average,"3,083.10","3,430.35","3,348.39","3,085.81","3,036.43","2,973.05","3,110.81","2,993.52","2,820.95","2,638.81","2,520.27","2,173.14"
2010,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,76.92,74.75,79.9,85.68,76.99,75.66,75.49,77.11,78.21,83.49,86.11,92.34
2010,International Gold Price (US$/fine ounce) - Monthly Average,"1,116.95","1,095.49","1,113.77","1,147.91","1,202.81","1,233.20","1,193.68","1,215.53","1,271.10","1,342.96","1,369.69","1,391.16"
2010,International Cocoa Price (US$/Tonne) - Monthly Average,"3,348.15","3,067.55","2,866.96","3,030.76","2,831.33","2,998.91","3,011.64","2,897.64","2,748.86","2,814.43","2,811.27","2,980.30"
2009,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,45.62,43.73,47.32,51.23,58.57,69.34,65.76,73.07,68.19,73.87,77.5,75.24
2009,International Gold Price (US$/fine ounce) - Monthly Average,860.05,942.58,924.41,891.43,926.48,903.79,934.42,949.35,995.25,"1,044.57","1,127.94","1,126.83"
2009,International Cocoa Price (US$/Tonne) - Monthly Average,"2,574.57","2,622.25","2,444.45","2,498.00","2,402.76","2,631.73","2,708.52","2,876.33","3,041.95","3,253.50","3,230.43","3,334.50"
2008,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,91.92,94.49,102.98,110.43,124.61,133.47,134.79,115.22,100.75,73.6,55.05,43.29
2008,International Cocoa Price (US$/Tonne) - Monthly Average,"2,174.55","2,501.76","2,614.15","2,567.55","2,647.00","3,071.24","2,928.52","2,771.29","2,645.73","2,194.61","2,033.60","2,445.10"
2008,International Gold Price (US$/fine ounce) - Monthly Average,890.98,925.03,965.9,909.76,889.92,891.77,938.54,835.93,829.22,803.91,760.76,821.49
2007,International Brent Crude Oil Price (US$/Barrel) - Monthly Average,54.56,58.96,62.36,67.49,67.92,70.55,75.84,71.17,77,82.47,92.06,91.51
2007,International Gold Price (US$/fine ounce) - Monthly Average,630.61,664.42,655.22,678.84,667.59,655.42,665.66,665.99,713.55,754.58,806.04,807.2
2007,International Cocoa Price (US$/Tonne) - Monthly Average,"1,607.72","1,711.95","1,839.68","1,897.38","1,910.09","1,927.67","2,051.64","1,826.43","1,895.45","1,878.26","1,947.23","2,071.90"
