Month,Interbank weighted average rate,Monetary policy rate
2023M12,30.2,30
2023M11,29.1,30
2023M10,28.5,30
2023M09,27.3,30
2023M08,26.6,30
2023M07,26.2,30
2023M06,26,29.5
2023M05,25.9,29.5
2023M04,25.9,29.5
2023M03,25.9,29.5
2023M02,25.7,28
2023M01,25.2,28
2022M12,25.5,27
2022M11,25.8,27
2022M10,24,24.5
2022M09,22.1,22
2022M08,21.9,22
2022M07,21.2,19
2022M06,19.9,19
2022M05,18.4,19
2022M04,16.5,17
2022M03,13.3,17
2022M02,13,14.5
2022M01,12.8,14.5
2021M12,12.7,14.5
2021M11,12.6,14.5
2021M10,12.7,13.5
2021M09,12.6,13.5
2021M08,12.6,13.5
2021M07,12.6,13.5
2021M06,12.9,13.5
2021M05,13.6,13.5
2021M04,13.6,14.5
2021M03,13.6,14.5
2021M02,13.6,14.5
2021M01,13.6,14.5
2020M12,13.6,14.5
2020M11,13.6,14.5
2020M10,13.6,14.5
2020M09,13.6,14.5
2020M08,13.6,14.5
2020M07,13.7,14.5
2020M06,13.8,14.5
2020M05,13.9,14.5
2020M04,14,14.5
2020M03,15.7,14.5
2020M02,15.9,16
2020M01,15.4,16
2019M12,15.2,16
2019M11,15.2,16
2019M10,15.2,16
2019M09,15.2,16
2019M08,15.2,16
2019M07,15.2,16
2019M06,15.2,16
2019M05,15.2,16
2019M04,15.2,16
2019M03,15.2,16
2019M02,15.6,16
2019M01,16.1,16
2018M12,16.1,17
2018M11,16.1,17
2018M10,16.2,17
2018M09,16.2,17
2018M08,16.2,17
2018M07,16.2,17
2018M06,16.4,17
2018M05,17.2,17
2018M04,17.5,18
2018M03,18.1,18
2018M02,18.3,20
2018M01,19.2,20
2017M12,19.3,20
2017M11,20.7,20
2017M10,20.9,21
2017M09,20.9,21
2017M08,21,21
2017M07,21.9,21
2017M06,22.1,22.5
2017M05,23.1,22.5
2017M04,23.3,23.5
2017M03,24.9,23.5
2017M02,25.2,25.5
2017M01,25.2,25.5
2016M12,25.3,25.5
2016M11,25.5,25.5
2016M10,25.5,26
2016M09,25.5,26
2016M08,25.5,26
2016M07,25.5,26
2016M06,25.5,26
2016M05,25.5,26
2016M04,25.4,26
2016M03,25.4,26
2016M02,25.4,26
2016M01,25.3,26
2015M12,25.2,26
2015M11,24.9,26
2015M10,25,25
2015M09,24.9,25
2015M08,24.9,24
2015M07,24.6,22
2015M06,24.1,22
2015M05,23.6,22
2015M04,23.2,21
2015M03,23,21
2015M02,22.9,21
2015M01,23.4,21
2014M12,23.9,21
2014M11,24.1,21
2014M10,24.3,19
2014M09,24.3,19
2014M08,24.1,18
2014M07,24.1,18
2014M06,24.1,18
2014M05,22.7,18
2014M04,18.7,18
2014M03,17.9,18
2014M02,17.2,18
2014M01,16.3,16
2013M12,16.3,16
2013M11,16.6,16
2013M10,17,16
2013M09,17.1,16
2013M08,17,16
2013M07,17.1,16
2013M06,17,16
2013M05,16.8,16
2013M04,16.9,16
2013M03,19.4,15
2013M02,19.3,15
2013M01,18.7,15
2012M12,17.1,15
2012M11,18.6,15
2012M10,18.3,15
2012M09,17.2,15
2012M08,16.8,15
2012M07,17.2,15
2012M06,15.1,15
2012M05,12.8,14.5
2012M04,12.7,14.5
2012M03,11.2,13.5
2012M02,9.7,13.5
2012M01,6.3,12.5
2011M12,6.6,12.5
2011M11,9.4,12.5
2011M10,10.5,12.5
2011M09,10.6,12.5
2011M08,10.5,12.5
2011M07,11.4,12.5
2011M06,11.6,13
2011M05,11.6,13
2011M04,11.6,13.5
2011M03,11.6,13.5
2011M02,11.6,13.5
2011M01,11.7,13.5
2010M12,11.6,13.5
2010M11,11.7,13.5
2010M10,11.9,13.5
2010M09,12.2,13.5
2010M08,12.6,13.5
2010M07,13.1,13.5
2010M06,13.4,15
2010M05,14.1,15
2010M04,14.7,15
2010M03,15.1,16
2010M02,16.1,16
2010M01,16.1,18
2009M12,16.5,18
2009M11,18.3,18
2009M10,22,18.5
2009M09,22.8,18.5
2009M08,22.7,18.5
2009M07,22.6,18.5
2009M06,22.5,18.5
2009M05,22.3,18.5
2009M04,22,18.5
2009M03,21.2,18.5
2009M02,20,18.5
2009M01,19.4,17
2008M12,19,17
2008M11,20.1,17
2008M10,19.9,17
2008M09,19.1,17
2008M08,17.4,17
2008M07,15.5,17
2008M06,14.6,16
2008M05,13.2,16
2008M04,12.6,14.3
2008M03,12.2,14.3
2008M02,12,13.5
2008M01,12.2,13.5
2007M12,12,13.5
2007M11,12.3,13.5
2007M10,12.4,12.5
2007M09,12.2,12.5
2007M08,11.7,12.5
2007M07,12.3,12.5
2007M06,12.4,12.5
2007M05,12.4,12.5
2007M04,12.6,12.5
2007M03,11.4,12.5
2007M02,10.6,12.5
2007M01,11.8,12.5
2006M12,12.6,12.5
2006M11,12.6,14.5
2006M10,12.5,14.5
2006M09,12.1,14.5
2006M08,11.4,14.5
2006M07,10.8,14.5
2006M06,10.3,14.5
2006M05,9.4,14.5
2006M04,8.6,14.5
2006M03,8.4,14.5
2006M02,8.6,14.5
2006M01,10.3,14.5
