feature,importance
USInflationRate,0.8111451
Buy_roll_mean_5,0.07482737
Buy_lag1,0.03722571
Buy_lag10,0.03429214
MPR,0.011199829
Buy_roll_mean_21,0.007436868
Buy_lag21,0.0053557134
Buy_lag5,0.0048512346
Buy_lag63,0.004729077
Buy_roll_mean_63,0.0024895142
USInterestRate,0.0015655264
GhInflationRate,0.0011743401
Rate_Spread,0.0011458566
Inflation_Spread,0.0010967143
Cocoa_ret,0.00029425262
NIR_chg,0.00025250384
Buy_roll_std_21,0.00013058152
Buy_roll_std_5,0.000110557594
Imports_chg,0.00010703541
NIR,9.6102216e-05
