model,fold,MAE,RMSE,R2
XGBoost,1,0.35547095372004556,0.4498175904858244,-2.130450723487927
XGBoost,2,1.182345909206805,1.2625244016222086,-6.9085571192021815
XGBoost,3,0.5769070571474393,0.7024182418427678,-2.2435022313256545
XGBoost,4,1.1298804309556376,2.0230301060025435,-0.457852001675656
"SARIMAX(1,1,1)+exog",1,0.3119010079850752,0.3945847551995878,-1.4088768984822337
"SARIMAX(1,1,1)+exog",2,1.0990587757117227,1.2164960430280882,-6.342417836311908
"SARIMAX(1,1,1)+exog",3,0.5687872263706569,0.7006168356580671,-2.2268871368099714
"SARIMAX(1,1,1)+exog",4,0.966598691876505,1.9225060896696433,-0.31657072531405195
XGBoost,1,0.35547095372004556,0.4498175904858244,-2.130450723487927
XGBoost,2,1.182345909206805,1.2625244016222086,-6.9085571192021815
XGBoost,3,0.5769070571474393,0.7024182418427678,-2.2435022313256545
XGBoost,4,1.1298804309556376,2.0230301060025435,-0.457852001675656
