Date,Actual_Buying_Level,XGBoost_Predicted_Level,Random_Walk_Level
2019-12-11,5.535899999999999,5.535194,5.5339
2019-12-12,5.535899999999999,5.535345,5.5339
2019-12-13,5.5357,5.5360026,5.5339
2019-12-16,5.537699999999999,5.5371203,5.5339
2019-12-17,5.5375,5.537044,5.5339
2019-12-18,5.5375,5.5374517,5.5339
2019-12-19,5.537300000000001,5.5373745,5.5339
2019-12-20,5.5367999999999995,5.5373693,5.5339
2019-12-23,5.5367999999999995,5.537283,5.5339
2019-12-24,5.5365,5.5371966,5.5339
2019-12-27,5.536,5.537128,5.5339
2019-12-30,5.535000000000001,5.5366726,5.5339
2019-12-31,5.5309,5.534417,5.5339
2020-01-02,5.5314,5.5331073,5.5339
2020-01-03,5.5314,5.5321894,5.5339
2020-01-06,5.5312,5.5326066,5.5339
2020-01-08,5.5337,5.533476,5.5339
2020-01-09,5.5335,5.53328,5.5339
2020-01-10,5.5335,5.5335813,5.5339
2020-01-13,5.534000000000001,5.534142,5.5339
2020-01-14,5.5338,5.534317,5.5339
2020-01-15,5.5341,5.534528,5.5339
2020-01-16,5.5334,5.534579,5.5339
2020-01-17,5.5314,5.533958,5.5339
2020-01-20,5.5314,5.533748,5.5339
2020-01-21,5.5319,5.5337906,5.5339
2020-01-22,5.5309,5.5336304,5.5339
2020-01-23,5.5289,5.5327964,5.5339
2020-01-24,5.5239,5.529229,5.5339
2020-01-27,5.5189,5.5261097,5.5339
2020-01-28,5.5159,5.5239825,5.5339
2020-01-29,5.5159,5.5222225,5.5339
2020-01-30,5.496,5.5123577,5.5339
2020-01-31,5.464499999999999,5.4954495,5.5339
2020-02-03,5.409,5.445739,5.5339
2020-02-04,5.3633,5.38135,5.5339
2020-02-05,5.358299999999999,5.35629,5.5339
2020-02-06,5.358299999999999,5.356723,5.5339
2020-02-07,5.3581,5.3539915,5.5339
2020-02-10,5.3574,5.3526073,5.5339
2020-02-11,5.3569,5.347204,5.5339
2020-02-12,5.3269,5.31739,5.5339
2020-02-13,5.296999999999999,5.2913275,5.5339
2020-02-14,5.295,5.281628,5.5339
2020-02-17,5.285,5.2662163,5.5339
2020-02-18,5.285,5.264068,5.5339
2020-02-19,5.2853,5.263302,5.5339
2020-02-20,5.2803,5.2552533,5.5339
2020-02-21,5.2803,5.2500343,5.5339
2020-02-24,5.279300000000001,5.2480927,5.5339
2020-02-25,5.2843,5.25003,5.5339
2020-02-26,5.2918,5.2542458,5.5339
2020-02-27,5.2918,5.2548842,5.5339
2020-02-28,5.292299999999999,5.2565064,5.5339
2020-03-02,5.2938,5.2578115,5.5339
2020-03-03,5.2948,5.2588573,5.5339
2020-03-04,5.2974,5.2612343,5.5339
2020-03-05,5.2974,5.2623906,5.5339
2020-03-09,5.3003,5.2647686,5.5339
2020-03-10,5.3101,5.270817,5.5339
2020-03-11,5.3153,5.2748547,5.5339
2020-03-12,5.325100000000001,5.2829475,5.5339
2020-03-13,5.325100000000001,5.2852407,5.5339
2020-03-16,5.3349,5.2927475,5.5339
2020-03-17,5.3454,5.2995763,5.5339
2020-03-18,5.3453,5.302133,5.5339
2020-03-19,5.347300000000001,5.304309,5.5339
2020-03-20,5.357599999999999,5.310867,5.5339
2020-03-23,5.368600000000001,5.3194375,5.5339
2020-03-24,5.393600000000001,5.3419347,5.5339
2020-03-25,5.4334,5.3703628,5.5339
2020-03-26,5.435200000000001,5.3800936,5.5339
2020-03-27,5.435,5.3806963,5.5339
2020-03-30,5.4347,5.3835654,5.5339
2020-03-31,5.439600000000001,5.3859544,5.5339
2020-04-01,5.439600000000001,5.387007,5.5339
2020-04-02,5.4473,5.3922005,5.5339
2020-04-03,5.4583,5.4012504,5.5339
2020-04-06,5.4979,5.440144,5.5339
2020-04-07,5.4977,5.4441686,5.5339
2020-04-08,5.4997,5.446252,5.5339
2020-04-09,5.5027,5.4512634,5.5339
2020-04-14,5.507700000000001,5.454849,5.5339
